,actor,sentiment,count
2889,Tom Cullen,0.07224642255892255,20
2890,James Coburn,0.1606731802148469,40
2891,Snoop Dogg,0.13896458449125726,158
2892,Fernanda Montenegro,0.22031250000000005,20
2893,Michael Kelly,0.14144065978664191,140
2894,Gladys Cooper,0.15997916666666667,20
2895,Dominic Cooper,0.18198870400432904,40
2896,Liam Neeson,0.057845844721474755,496
2897,Tom Wilkinson,0.14679797979797982,20
2898,Peter Graves,-0.0839236111111111,20
2899,Michael Jai White,0.08338125422090067,99
2900,Nia Long,0.21677911556491503,413
2901,Jada Pinkett Smith,0.12954573068161554,178
2902,George Kennedy,0.16769462481962483,20
2903,Slim Pickens,0.11109964142917272,400
2904,Janet Leigh,0.14207181813171396,120
2905,Bernard Cribbins,0.17856572420634917,40
2906,John Mahoney,-0.01648995022784936,299
2907,Brendan Fraser,0.26061065665778355,496
2908,Gideon Emery,0.24212805712805718,39
2909,Wanda Sykes,0.06885512810041114,159
2910,Ian Ziering,0.16188419913419916,20
2911,Frances Conroy,0.08304434974747474,20
2912,Will Forte,0.04671875000000002,40
2913,Zooey Deschanel,0.1590231217793607,494
2914,Jordana Brewster,0.1602083333333333,20
2915,Diahann Carroll,0.10799816383703105,160
2916,Fisher Stevens,0.01893939393939394,20
2917,Teri Polo,0.09634523809523807,20
2918,Michael Emerson,0.12368886972402597,80
2919,Jane Goodall,0.12639920635118418,475
2920,Ray Winstone,0.08719522375772376,78
2921,Madeline Kahn,0.1284042502282298,98
2922,Morgan Freeman,0.11061689338669153,483
2923,Anjelica Huston,0.157130562077596,59
2924,J.K. Simmons,0.1211107229619888,79
2925,Danny Dyer,0.1749039694963928,318
2926,Corbin Bleu,0.11255915902843273,179
2927,Roddy McDowall,0.05696748737373738,40
2928,Samantha Morton,0.1979898538961039,40
2929,John Cassavetes,0.0881537444037444,39
2930,Lee Marvin,0.014717000360750358,160
2931,Peter Gallagher,0.29131672754329,40
2932,Goran Visnjic,0.2179436177248677,60
2933,John Belushi,0.10652973031621511,197
2934,Honor Blackman,0.2866319444444444,20
2935,Sarah Gadon,0.1482291666666667,20
2936,Donna Reed,0.22425332052207056,195
2937,Kelly Macdonald,0.1400691724724928,40
2938,Bernie Mac,0.09456082325936738,498
2939,James Nesbitt,0.10521759423024017,257
2940,Michael Moore,0.041828968137974466,490
2941,Julian Sands,0.2149507068452381,20
2942,Burl Ives,0.10626310616743417,439
2943,Linda Harrison,0.11615584415584417,40
2944,Tony Goldwyn,0.20454143431897667,59
2945,William Holden,0.24687180521926294,59
2946,Fred MacMurray,0.11930555555555553,19
2947,Common,0.06658084662891177,473
2948,Michael Fassbender,0.1710079478812608,258
2949,Blair Underwood,0.15449147727272733,40
2950,Omari Hardwick,0.21507469794247516,159
2951,Shirley Jones,0.11626555360149111,120
2952,Donald Faison,0.13029258366308177,500
2953,Montgomery Clift,0.08913676601176602,40
2954,Mo'Nique,0.09508527646254208,500
2955,Loretta Devine,0.14103976798055742,38
2956,America Ferrera,0.15874268031076064,140
2957,John Abraham,0.1822578974371588,220
2958,Callie Thorne,0.04544564694564693,100
2959,Oliver Platt,0.11583333333333334,20
2960,Julian Sands,0.2149507068452381,20
2961,Kristy Swanson,0.11907586763518965,59
2962,Matthew McConaughey,0.17080138499222025,497
2963,Julie Benz,0.2786648046136801,239
2964,Gary Oldman,0.1780265008163193,397
2965,Greta Gerwig,0.12350067902822673,498
2966,Terry Pheto,0.08640861992945328,60
2967,Philip Seymour Hoffman,0.17078487649916219,117
2968,Eddie Griffin,0.11456762566137565,60
2969,Johnny Depp,0.07872807627771616,462
2970,Kevin Pollak,0.35166431022680994,117
2971,Bokeem Woodbine,0.13495801236458202,275
2972,Michael Fassbender,0.1710079478812608,258
2973,Greta Gerwig,0.12350067902822673,498
2974,Kirsten Dunst,0.14277004428705378,237
2975,George Kennedy,0.16769462481962483,20
2976,Matt Cohen,0.03902762746512746,60
2977,Michael Biehn,0.11481493506493508,40
2978,Aidan Quinn,0.11651992018398268,40
2979,Frank Grillo,0.02938924963924964,20
2980,Johnny Depp,0.07872807627771616,462
2981,Christopher Meloni,0.23735795454545455,20
2982,French Stewart,0.07702777777777779,20
2983,Michael Jai White,0.08338125422090067,99
2984,Lee Marvin,0.014717000360750358,160
2985,Bokeem Woodbine,0.13495801236458202,275
2986,Everett McGill,0.048509389530222866,60
2987,Hayley Atwell,0.1461769767479995,220
2988,Mike Starr,0.06238592271925606,60
2989,Judy Greer,0.24723860630110628,40
2990,Fernanda Montenegro,0.22031250000000005,20
2991,Ann-Margret,0.12095633094050814,79
2992,Anthony L. Fernandez,0.09229484126984126,20
2993,Isaac Hayes,0.12827495189995186,160
2994,Margaret Hamilton,0.1810932013588263,60
2995,Madeline Kahn,0.1284042502282298,98
2996,Megan Park,0.4541428571428572,20
2997,Vidya Balan,0.2323428351927893,340
2998,Peter Fonda,-0.04254000718755282,219
2999,Teri Garr,0.17353379583398598,38
3000,Lee Marvin,0.014717000360750358,160
3001,Spencer Tracy,0.12220293279926098,400
3002,Madeline Kahn,0.1284042502282298,98
3003,Rupert Graves,0.13204224214938498,37
3004,Joe Lo Truglio,0.5994018764143065,440
3005,Johnny Depp,0.07872807627771616,462
3006,Rita Moreno,0.1694232127825878,60
3007,Joe Cross,0.10014450870310243,80
3008,Barack Obama,0.07163606408363812,494
3009,Tom Hanks,0.1514650522782509,492
3010,Tom Atkins,0.09373912595341166,140
3011,Roddy McDowall,0.05696748737373738,40
3012,Patricia Neal,0.15746037852483172,80
3013,Keanu Reeves,0.10476399390001678,494
3014,Billy Crudup,0.17832855133709163,138
3015,Frank Langella,0.19790584415584417,20
3016,Sarah Polley,0.2813961038961039,20
3017,Shailene Woodley,0.12055993590681541,398
3018,William Hurt,0.07154864425697763,117
3019,Bill Maher,0.04559172542453791,74
3020,Larry David,0.08563906629487252,493
3021,Gary Cole,0.11223408539126618,60
3022,Katharine Ross,0.21623611111111113,20
3023,Larry Miller,0.22991089928589928,39
3024,Linda Cardellini,0.13820353682720443,59
3025,Ashley Scott,0.008749999999999999,40
3026,Natasha Lyonne,0.12975155811525152,199
3027,Bernie Mac,0.09456082325936738,498
3028,Stephen Graham,0.22079447080596248,473
3029,Julian Glover,0.17879960317460317,20
3030,Esther Williams,0.13973112255309222,99
3031,Agnes Moorehead,0.04315890602453102,80
3032,Topher Grace,0.1885861509024198,199
3033,Jon Lovitz,0.0788875988638647,79
3034,Roy Scheider,-0.007127192982456137,19
3035,Henry Thomas,0.10561344388869838,497
3036,Brian Austin Green,0.12166666666666667,20
3037,Jessica Tandy,0.05635171261487051,19
3038,Jessica Lowndes,0.2808333333333333,20
3039,Ryan Guzman,0.015310554174117714,20
3040,Rachel Skarsten,0.25701841725525937,38
3041,Myrna Loy,0.16257761555427697,79
3042,Michael Derek,0.10193258270727351,439
